date,campaign_name,channel,segment,impressions,clicks,conversions,spend,revenue,orders
2024-12-11,UGC_Content_Campaign,TikTok_Ads,New_Customers,179785,3306,39,2049.99,3534.55,39
2024-12-11,Weekly_Newsletter,Email,Loyalty,,11140,237,222.24,23115.38,237
2024-12-11,Abandoned_Cart_Sequence,Email,Retargeting,,2121,72,21.0,8298.95,72
2024-12-12,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,138154,3495,92,2272.19,8507.24,92
2024-12-12,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,46835,1873,117,1536.08,12538.07,117
2024-12-12,Product_Launch_Awareness,Facebook_Ads,New_Customers,95435,2170,37,1519.55,3318.1,37
2024-12-12,Brand_Search,Google_Ads,New_Customers,15136,750,92,788.21,9443.2,92
2024-12-12,Shopping_Campaigns,Google_Ads,New_Customers,79650,1973,58,1676.54,5461.45,58
2024-12-12,Dynamic_Remarketing,Google_Ads,Retargeting,37349,1405,73,1335.19,8083.42,73
2024-12-12,Influencer_Collab_Video,TikTok_Ads,New_Customers,242963,4958,47,2876.18,4037.48,47
2024-12-12,UGC_Content_Campaign,TikTok_Ads,New_Customers,220333,4051,48,2512.33,4331.72,48
2024-12-12,Weekly_Newsletter,Email,Loyalty,,11610,247,231.6,24089.32,247
2024-12-12,Abandoned_Cart_Sequence,Email,Retargeting,,2519,86,24.93,9854.54,86
2024-12-13,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,135879,3437,91,2234.76,8367.13,91
2024-12-13,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,47489,1899,118,1557.52,12713.06,118
2024-12-13,Product_Launch_Awareness,Facebook_Ads,New_Customers,107190,2437,42,1706.72,3726.8,42
2024-12-13,Brand_Search,Google_Ads,New_Customers,14369,712,87,748.26,8964.53,87
2024-12-13,Shopping_Campaigns,Google_Ads,New_Customers,80218,1987,59,1688.49,5500.4,59
2024-12-13,Dynamic_Remarketing,Google_Ads,Retargeting,45113,1697,88,1612.75,9763.79,88
2024-12-13,Influencer_Collab_Video,TikTok_Ads,New_Customers,246206,5025,48,2914.57,4091.37,48
2024-12-13,UGC_Content_Campaign,TikTok_Ads,New_Customers,196720,3617,42,2243.09,3867.49,42
2024-12-13,Weekly_Newsletter,Email,Loyalty,,12441,264,248.19,25814.6,264
2024-12-13,Abandoned_Cart_Sequence,Email,Retargeting,,2239,76,22.16,8759.47,76
2024-12-14,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,122502,3099,82,2014.76,7543.44,82
2024-12-14,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,51535,2060,128,1690.24,13796.31,128
2024-12-14,Product_Launch_Awareness,Facebook_Ads,New_Customers,108171,2459,42,1722.33,3760.89,42
2024-12-14,Brand_Search,Google_Ads,New_Customers,16865,836,102,878.28,10522.21,102
2024-12-14,Shopping_Campaigns,Google_Ads,New_Customers,97118,2405,71,2044.21,6659.16,71
2024-12-14,Dynamic_Remarketing,Google_Ads,Retargeting,36580,1376,71,1307.7,7916.99,71
2024-12-14,Influencer_Collab_Video,TikTok_Ads,New_Customers,288459,5887,56,3414.75,4793.5,56
2024-12-14,UGC_Content_Campaign,TikTok_Ads,New_Customers,198824,3656,43,2267.07,3908.85,43
2024-12-14,Weekly_Newsletter,Email,Loyalty,,12218,259,243.75,25352.37,259
2024-12-14,Abandoned_Cart_Sequence,Email,Retargeting,,1997,68,19.77,7814.03,68
2024-12-15,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,148254,3750,99,2438.3,9129.18,99
2024-12-15,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,39875,1594,99,1307.8,10674.73,99
2024-12-15,Product_Launch_Awareness,Facebook_Ads,New_Customers,94547,2150,37,1505.4,3287.21,37
2024-12-15,Brand_Search,Google_Ads,New_Customers,17314,858,105,901.63,10801.97,105
2024-12-15,Shopping_Campaigns,Google_Ads,New_Customers,77732,1925,57,1636.15,5329.89,57
2024-12-15,Dynamic_Remarketing,Google_Ads,Retargeting,44838,1687,87,1602.91,9704.22,87
2024-12-15,Influencer_Collab_Video,TikTok_Ads,New_Customers,255412,5212,50,3023.54,4244.34,50
2024-12-15,UGC_Content_Campaign,TikTok_Ads,New_Customers,180494,3319,39,2058.07,3548.49,39
2024-12-15,Weekly_Newsletter,Email,Loyalty,,11379,242,227.0,23610.74,242
2024-12-15,Abandoned_Cart_Sequence,Email,Retargeting,,2355,80,23.31,9214.99,80
2024-12-16,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,147871,3890,107,2334.72,10198.26,107
2024-12-16,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,52432,2180,141,1650.85,15720.62,141
2024-12-16,Product_Launch_Awareness,Facebook_Ads,New_Customers,118722,2807,50,1814.72,4623.06,50
2024-12-16,Brand_Search,Google_Ads,New_Customers,18189,938,119,909.32,12709.87,119
2024-12-16,Shopping_Campaigns,Google_Ads,New_Customers,102894,2650,82,2079.14,7901.79,82
2024-12-16,Dynamic_Remarketing,Google_Ads,Retargeting,53190,2081,112,1825.42,12893.23,112
2024-12-16,Influencer_Collab_Video,TikTok_Ads,New_Customers,364093,7728,77,4137.7,6776.42,77
2024-12-16,UGC_Content_Campaign,TikTok_Ads,New_Customers,266866,5104,62,2921.2,5876.13,62
2024-12-16,Weekly_Newsletter,Email,Loyalty,,16771,370,308.83,37475.12,370
2024-12-16,Abandoned_Cart_Sequence,Email,Retargeting,,3250,115,29.7,13694.2,115
2024-12-17,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,149386,3930,108,2358.64,10302.75,108
2024-12-17,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,63073,2623,170,1985.88,18911.09,170
2024-12-17,Product_Launch_Awareness,Facebook_Ads,New_Customers,107923,2552,46,1649.64,4202.53,46
2024-12-17,Brand_Search,Google_Ads,New_Customers,20508,1057,134,1025.22,14329.77,134
2024-12-17,Shopping_Campaigns,Google_Ads,New_Customers,109905,2831,87,2220.82,8440.25,87
2024-12-17,Dynamic_Remarketing,Google_Ads,Retargeting,44273,1732,93,1519.4,10731.78,93
2024-12-17,Influencer_Collab_Video,TikTok_Ads,New_Customers,345755,7339,73,3929.3,6435.11,73
2024-12-17,UGC_Content_Campaign,TikTok_Ads,New_Customers,293685,5616,69,3214.78,6466.67,69
2024-12-17,Weekly_Newsletter,Email,Loyalty,,17960,396,330.73,40132.64,396
2024-12-17,Abandoned_Cart_Sequence,Email,Retargeting,,2528,89,23.1,10651.49,89
2024-12-18,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,145228,3821,105,2292.98,10015.96,105
2024-12-18,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,60620,2521,163,1908.66,18175.67,163
2024-12-18,Product_Launch_Awareness,Facebook_Ads,New_Customers,115929,2741,49,1772.02,4514.3,49
2024-12-18,Brand_Search,Google_Ads,New_Customers,20673,1066,135,1033.48,14445.23,135
2024-12-18,Shopping_Campaigns,Google_Ads,New_Customers,102242,2634,81,2065.98,7851.76,81
2024-12-18,Dynamic_Remarketing,Google_Ads,Retargeting,46235,1809,97,1586.76,11207.53,97
2024-12-18,Influencer_Collab_Video,TikTok_Ads,New_Customers,331255,7031,70,3764.51,6165.24,70
2024-12-18,UGC_Content_Campaign,TikTok_Ads,New_Customers,294931,5640,69,3228.41,6494.1,69
2024-12-18,Weekly_Newsletter,Email,Loyalty,,18203,402,335.2,40675.0,402
2024-12-18,Abandoned_Cart_Sequence,Email,Retargeting,,3105,110,28.37,13084.18,110
2024-12-19,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,156360,4114,113,2468.74,10783.69,113
2024-12-19,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,55670,2315,150,1752.8,16691.45,150
2024-12-19,Product_Launch_Awareness,Facebook_Ads,New_Customers,127682,3019,54,1951.67,4971.96,54
2024-12-19,Brand_Search,Google_Ads,New_Customers,22315,1151,146,1115.59,15592.86,146
2024-12-19,Shopping_Campaigns,Google_Ads,New_Customers,103315,2661,82,2087.66,7934.15,82
2024-12-19,Dynamic_Remarketing,Google_Ads,Retargeting,54404,2129,115,1867.09,13187.5,115
2024-12-19,Influencer_Collab_Video,TikTok_Ads,New_Customers,307182,6520,65,3490.94,5717.2,65
2024-12-19,UGC_Content_Campaign,TikTok_Ads,New_Customers,269788,5159,63,2953.19,5940.47,63
2024-12-19,Weekly_Newsletter,Email,Loyalty,,15315,338,282.01,34221.51,338
2024-12-19,Abandoned_Cart_Sequence,Email,Retargeting,,2952,104,26.97,12436.83,104
2024-12-20,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,172974,4551,125,2731.06,11929.51,125
2024-12-20,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,60511,2516,163,1905.23,18143.06,163
2024-12-20,Product_Launch_Awareness,Facebook_Ads,New_Customers,112379,2657,48,1717.76,4376.06,48
2024-12-20,Brand_Search,Google_Ads,New_Customers,18828,971,123,941.24,13155.92,123
2024-12-20,Shopping_Campaigns,Google_Ads,New_Customers,102774,2647,82,2076.71,7892.56,82
2024-12-20,Dynamic_Remarketing,Google_Ads,Retargeting,53404,2090,112,1832.78,12945.23,112
2024-12-20,Influencer_Collab_Video,TikTok_Ads,New_Customers,339663,7209,71,3860.06,6321.72,71
2024-12-20,UGC_Content_Campaign,TikTok_Ads,New_Customers,239275,4576,56,2619.18,5268.61,56
2024-12-20,Weekly_Newsletter,Email,Loyalty,,14651,323,269.79,32738.41,323
2024-12-20,Abandoned_Cart_Sequence,Email,Retargeting,,2564,91,23.43,10802.58,91
2024-12-21,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,177100,4659,128,2796.2,12214.07,128
2024-12-21,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,57720,2400,155,1817.35,17306.13,155
2024-12-21,Product_Launch_Awareness,Facebook_Ads,New_Customers,128863,3047,55,1969.72,5017.94,55
2024-12-21,Brand_Search,Google_Ads,New_Customers,17675,911,116,883.64,12350.85,116
2024-12-21,Shopping_Campaigns,Google_Ads,New_Customers,97619,2515,78,1972.56,7496.71,78
2024-12-21,Dynamic_Remarketing,Google_Ads,Retargeting,47084,1842,99,1615.88,11413.21,99
2024-12-21,Influencer_Collab_Video,TikTok_Ads,New_Customers,348825,7404,73,3964.18,6492.25,73
2024-12-21,UGC_Content_Campaign,TikTok_Ads,New_Customers,293049,5604,69,3207.81,6452.66,69
2024-12-21,Weekly_Newsletter,Email,Loyalty,,16636,367,306.34,37173.27,367
2024-12-21,Abandoned_Cart_Sequence,Email,Retargeting,,2856,101,26.09,12033.16,101
2024-12-22,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,154021,4052,111,2431.82,10622.41,111
2024-12-22,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,59254,2464,159,1865.64,17765.98,159
2024-12-22,Product_Launch_Awareness,Facebook_Ads,New_Customers,102849,2432,44,1572.09,4004.95,44
2024-12-22,Brand_Search,Google_Ads,New_Customers,19677,1015,129,983.71,13749.63,129
2024-12-22,Shopping_Campaigns,Google_Ads,New_Customers,123298,3176,98,2491.44,9468.73,98
2024-12-22,Dynamic_Remarketing,Google_Ads,Retargeting,45318,1773,95,1555.29,10985.26,95
2024-12-22,Influencer_Collab_Video,TikTok_Ads,New_Customers,285904,6068,60,3249.13,5321.19,60
2024-12-22,UGC_Content_Campaign,TikTok_Ads,New_Customers,275843,5275,64,3019.47,6073.79,64
2024-12-22,Weekly_Newsletter,Email,Loyalty,,18535,409,341.31,41417.06,409
2024-12-22,Abandoned_Cart_Sequence,Email,Retargeting,,2968,105,27.12,12506.26,105
2024-12-23,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,100689,2365,77,1419.43,7528.84,77
2024-12-23,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,28597,1061,81,803.93,9296.1,81
2024-12-23,Product_Launch_Awareness,Facebook_Ads,New_Customers,77061,1627,34,1051.7,3253.38,34
2024-12-23,Brand_Search,Google_Ads,New_Customers,10940,503,76,488.34,8288.33,76
2024-12-23,Shopping_Campaigns,Google_Ads,New_Customers,61358,1411,51,1107.0,5108.71,51
2024-12-23,Dynamic_Remarketing,Google_Ads,Retargeting,25840,903,57,791.79,6790.93,57
2024-12-23,Influencer_Collab_Video,TikTok_Ads,New_Customers,176016,3335,39,1785.99,3551.74,39
2024-12-23,UGC_Content_Campaign,TikTok_Ads,New_Customers,164248,2804,40,1605.28,3921.04,40
2024-12-23,Weekly_Newsletter,Email,Loyalty,,7556,197,139.15,20504.27,197
2024-12-23,Abandoned_Cart_Sequence,Email,Retargeting,,1283,54,11.73,6568.13,54
2024-12-24,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,79294,1862,60,1117.83,5929.11,60
2024-12-24,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,29321,1088,83,824.28,9531.44,83
2024-12-24,Product_Launch_Awareness,Facebook_Ads,New_Customers,60299,1273,27,822.95,2545.75,27
2024-12-24,Brand_Search,Google_Ads,New_Customers,12079,556,84,539.15,9150.59,84
2024-12-24,Shopping_Campaigns,Google_Ads,New_Customers,57217,1316,48,1032.3,4763.96,48
2024-12-24,Dynamic_Remarketing,Google_Ads,Retargeting,31585,1103,70,967.85,8300.97,70
2024-12-24,Influencer_Collab_Video,TikTok_Ads,New_Customers,173353,3285,38,1758.98,3498.03,38
2024-12-24,UGC_Content_Campaign,TikTok_Ads,New_Customers,132687,2265,33,1296.82,3167.61,33
2024-12-24,Weekly_Newsletter,Email,Loyalty,,7462,195,137.42,20248.27,195
2024-12-24,Abandoned_Cart_Sequence,Email,Retargeting,,1607,67,14.68,8221.7,67
2024-12-25,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,78974,1855,60,1113.32,5905.15,60
2024-12-25,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,35383,1313,101,994.7,11502.11,101
2024-12-25,Product_Launch_Awareness,Facebook_Ads,New_Customers,65700,1387,29,896.66,2773.75,29
2024-12-25,Brand_Search,Google_Ads,New_Customers,10668,491,74,476.19,8082.06,74
2024-12-25,Shopping_Campaigns,Google_Ads,New_Customers,69950,1609,59,1262.02,5824.1,59
2024-12-25,Dynamic_Remarketing,Google_Ads,Retargeting,31715,1108,71,971.81,8334.88,71
2024-12-25,Influencer_Collab_Video,TikTok_Ads,New_Customers,156705,2969,35,1590.05,3162.08,35
2024-12-25,UGC_Content_Campaign,TikTok_Ads,New_Customers,158562,2707,39,1549.71,3785.3,39
2024-12-25,Weekly_Newsletter,Email,Loyalty,,9509,249,175.11,25802.62,249
2024-12-25,Abandoned_Cart_Sequence,Email,Retargeting,,1527,64,13.96,7815.01,64
2024-12-26,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,93873,2205,72,1323.35,7019.21,72
2024-12-26,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,36702,1362,104,1031.77,11930.75,104
2024-12-26,Product_Launch_Awareness,Facebook_Ads,New_Customers,68752,1451,31,938.31,2902.61,31
2024-12-26,Brand_Search,Google_Ads,New_Customers,10642,490,74,475.03,8062.4,74
2024-12-26,Shopping_Campaigns,Google_Ads,New_Customers,69901,1607,59,1261.14,5820.02,59
2024-12-26,Dynamic_Remarketing,Google_Ads,Retargeting,32026,1119,71,981.34,8416.62,71
2024-12-26,Influencer_Collab_Video,TikTok_Ads,New_Customers,209406,3968,46,2124.79,4225.51,46
2024-12-26,UGC_Content_Campaign,TikTok_Ads,New_Customers,158887,2713,39,1552.88,3793.06,39
2024-12-26,Weekly_Newsletter,Email,Loyalty,,9308,243,171.41,25257.06,243
2024-12-26,Abandoned_Cart_Sequence,Email,Retargeting,,1633,68,14.92,8356.69,68
2024-12-27,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,88539,2080,68,1248.16,6620.36,68
2024-12-27,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,31126,1155,88,875.03,10118.24,88
2024-12-27,Product_Launch_Awareness,Facebook_Ads,New_Customers,61161,1291,27,834.71,2582.12,27
2024-12-27,Brand_Search,Google_Ads,New_Customers,12143,559,84,542.01,9199.15,84
2024-12-27,Shopping_Campaigns,Google_Ads,New_Customers,64599,1486,54,1165.48,5378.56,54
2024-12-27,Dynamic_Remarketing,Google_Ads,Retargeting,31595,1104,70,968.14,8303.4,70
2024-12-27,Influencer_Collab_Video,TikTok_Ads,New_Customers,176600,3346,39,1791.92,3563.54,39
2024-12-27,UGC_Content_Campaign,TikTok_Ads,New_Customers,123299,2105,30,1205.06,2943.48,30
2024-12-27,Weekly_Newsletter,Email,Loyalty,,9243,242,170.21,25080.34,242
2024-12-27,Abandoned_Cart_Sequence,Email,Retargeting,,1332,56,12.18,6818.01,56
2024-12-28,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,85789,2015,65,1209.38,6414.71,65
2024-12-28,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,33905,1259,96,953.15,11021.58,96
2024-12-28,Product_Launch_Awareness,Facebook_Ads,New_Customers,69156,1460,31,943.83,2919.67,31
2024-12-28,Brand_Search,Google_Ads,New_Customers,11719,539,81,523.09,8878.08,81
2024-12-28,Shopping_Campaigns,Google_Ads,New_Customers,64036,1473,54,1155.32,5331.67,54
2024-12-28,Dynamic_Remarketing,Google_Ads,Retargeting,25367,886,56,777.32,6666.82,56
2024-12-28,Influencer_Collab_Video,TikTok_Ads,New_Customers,182745,3463,40,1854.27,3687.53,40
2024-12-28,UGC_Content_Campaign,TikTok_Ads,New_Customers,155785,2660,38,1522.57,3719.01,38
2024-12-28,Weekly_Newsletter,Email,Loyalty,,9230,241,169.97,25045.75,241
2024-12-28,Abandoned_Cart_Sequence,Email,Retargeting,,1272,53,11.62,6508.35,53
2024-12-29,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,92413,2171,70,1302.77,6910.03,70
2024-12-29,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,33746,1253,96,948.68,10969.87,96
2024-12-29,Product_Launch_Awareness,Facebook_Ads,New_Customers,62160,1312,28,848.34,2624.3,28
2024-12-29,Brand_Search,Google_Ads,New_Customers,12169,560,84,543.19,9219.21,84
2024-12-29,Shopping_Campaigns,Google_Ads,New_Customers,62779,1444,53,1132.65,5227.07,53
2024-12-29,Dynamic_Remarketing,Google_Ads,Retargeting,26085,911,58,799.31,6855.39,58
2024-12-29,Influencer_Collab_Video,TikTok_Ads,New_Customers,199981,3790,44,2029.16,4035.33,44
2024-12-29,UGC_Content_Campaign,TikTok_Ads,New_Customers,155665,2658,38,1521.4,3716.15,38
2024-12-29,Weekly_Newsletter,Email,Loyalty,,7118,186,131.07,19313.51,186
2024-12-29,Abandoned_Cart_Sequence,Email,Retargeting,,1341,56,12.26,6862.97,56
2024-12-30,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,118684,3179,89,1837.14,9027.89,89
2024-12-30,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,36188,1532,101,1117.06,11967.16,101
2024-12-30,Product_Launch_Awareness,Facebook_Ads,New_Customers,91003,2191,40,1363.75,3908.49,40
2024-12-30,Brand_Search,Google_Ads,New_Customers,12238,642,83,599.83,9432.04,83
2024-12-30,Shopping_Campaigns,Google_Ads,New_Customers,80006,2098,66,1584.95,6776.57,66
2024-12-30,Dynamic_Remarketing,Google_Ads,Retargeting,37374,1489,81,1257.51,9992.27,81
2024-12-30,Influencer_Collab_Video,TikTok_Ads,New_Customers,247121,5340,54,2753.31,5072.81,54
2024-12-30,UGC_Content_Campaign,TikTok_Ads,New_Customers,165751,3227,40,1778.79,4025.39,40
2024-12-30,Weekly_Newsletter,Email,Loyalty,,13048,293,231.37,31585.74,293
2024-12-30,Abandoned_Cart_Sequence,Email,Retargeting,,2109,76,18.56,9626.6,76
2024-12-31,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,99892,2675,75,1546.26,7598.49,75
2024-12-31,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,41219,1745,115,1272.35,13630.81,115
2024-12-31,Product_Launch_Awareness,Facebook_Ads,New_Customers,76794,1849,34,1150.81,3298.22,34
2024-12-31,Brand_Search,Google_Ads,New_Customers,11457,601,77,561.54,8829.94,77
2024-12-31,Shopping_Campaigns,Google_Ads,New_Customers,79335,2080,65,1571.67,6719.77,65
2024-12-31,Dynamic_Remarketing,Google_Ads,Retargeting,30378,1210,66,1022.12,8121.82,66
2024-12-31,Influencer_Collab_Video,TikTok_Ads,New_Customers,232017,5014,50,2585.03,4762.78,50
2024-12-31,UGC_Content_Campaign,TikTok_Ads,New_Customers,200368,3901,48,2150.29,4866.07,48
2024-12-31,Weekly_Newsletter,Email,Loyalty,,10071,226,178.59,24380.92,226
2024-12-31,Abandoned_Cart_Sequence,Email,Retargeting,,1910,68,16.81,8719.6,68
2025-01-01,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,120668,3232,90,1867.86,9178.86,90
2025-01-01,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,40699,1723,113,1256.3,13458.9,113
2025-01-01,Product_Launch_Awareness,Facebook_Ads,New_Customers,76227,1835,33,1142.32,3273.86,33
2025-01-01,Brand_Search,Google_Ads,New_Customers,14140,742,96,693.03,10897.45,96
2025-01-01,Shopping_Campaigns,Google_Ads,New_Customers,75478,1979,62,1495.26,6393.07,62
2025-01-01,Dynamic_Remarketing,Google_Ads,Retargeting,39379,1569,86,1324.95,10528.14,86
2025-01-01,Influencer_Collab_Video,TikTok_Ads,New_Customers,223610,4832,48,2491.37,4590.2,48
2025-01-01,UGC_Content_Campaign,TikTok_Ads,New_Customers,177385,3454,43,1903.65,4307.93,43
2025-01-01,Weekly_Newsletter,Email,Loyalty,,11368,255,201.58,27519.13,255
2025-01-01,Abandoned_Cart_Sequence,Email,Retargeting,,2098,75,18.46,9575.06,75
2025-01-02,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,98004,2625,73,1517.03,7454.84,73
2025-01-02,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,36596,1549,102,1129.66,12102.12,102
2025-01-02,Product_Launch_Awareness,Facebook_Ads,New_Customers,82095,1976,36,1230.25,3525.87,36
2025-01-02,Brand_Search,Google_Ads,New_Customers,15156,795,103,742.82,11680.46,103
2025-01-02,Shopping_Campaigns,Google_Ads,New_Customers,78438,2057,64,1553.9,6643.81,64
2025-01-02,Dynamic_Remarketing,Google_Ads,Retargeting,31425,1252,68,1057.34,8401.63,68
2025-01-02,Influencer_Collab_Video,TikTok_Ads,New_Customers,237135,5124,51,2642.06,4867.84,51
2025-01-02,UGC_Content_Campaign,TikTok_Ads,New_Customers,196478,3825,47,2108.55,4771.62,47
2025-01-02,Weekly_Newsletter,Email,Loyalty,,11250,252,199.5,27234.47,252
2025-01-02,Abandoned_Cart_Sequence,Email,Retargeting,,2174,78,19.13,9924.58,78
2025-01-03,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,100271,2686,75,1552.12,7627.28,75
2025-01-03,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,42119,1783,117,1300.14,13928.52,117
2025-01-03,Product_Launch_Awareness,Facebook_Ads,New_Customers,93405,2249,41,1399.75,4011.65,41
2025-01-03,Brand_Search,Google_Ads,New_Customers,13566,712,92,664.91,10455.38,92
2025-01-03,Shopping_Campaigns,Google_Ads,New_Customers,76121,1996,62,1507.99,6447.53,62
2025-01-03,Dynamic_Remarketing,Google_Ads,Retargeting,35814,1427,78,1205.01,9575.05,78
2025-01-03,Influencer_Collab_Video,TikTok_Ads,New_Customers,188498,4073,41,2100.16,3869.42,41
2025-01-03,UGC_Content_Campaign,TikTok_Ads,New_Customers,192949,3757,47,2070.68,4685.92,47
2025-01-03,Weekly_Newsletter,Email,Loyalty,,13005,292,230.61,31482.38,292
2025-01-03,Abandoned_Cart_Sequence,Email,Retargeting,,2132,76,18.76,9731.62,76
2025-01-04,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,103463,2771,77,1601.54,7870.13,77
2025-01-04,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,35670,1510,99,1101.08,11795.97,99
2025-01-04,Product_Launch_Awareness,Facebook_Ads,New_Customers,77651,1869,34,1163.65,3335.01,34
2025-01-04,Brand_Search,Google_Ads,New_Customers,11754,617,79,576.12,9059.12,79
2025-01-04,Shopping_Campaigns,Google_Ads,New_Customers,74675,1958,61,1479.35,6325.08,61
2025-01-04,Dynamic_Remarketing,Google_Ads,Retargeting,39923,1590,87,1343.27,10673.68,87
2025-01-04,Influencer_Collab_Video,TikTok_Ads,New_Customers,215795,4663,47,2404.3,4429.77,47
2025-01-04,UGC_Content_Campaign,TikTok_Ads,New_Customers,154815,3014,37,1661.42,3759.78,37
2025-01-04,Weekly_Newsletter,Email,Loyalty,,10547,236,187.03,25532.61,236
2025-01-04,Abandoned_Cart_Sequence,Email,Retargeting,,1940,70,17.07,8855.54,70
